Data,Campanha,Envios,Entregas,Cliques
2026-08-06,20260806_guanabara_insider_apppush_diadospais_B,253,247,38
2026-08-06,20260806_guanabara_insider_apppush_diadospais_ativos,386,378,58
2026-08-06,20260806_guanabara_insider_apppush_formasdepagamento_ativos,386,378,58
2026-08-06,20260806_guanabara_insider_apppush_formasdepagamento_emqueda,66,64,10
2026-08-06,20260806_guanabara_insider_sms_antecipacao_ativos,113,110,17
2026-08-05,20260805_guanabara_insider_apppush_antecipacao_ativos,360,352,54
2026-08-05,20260805_guanabara_insider_apppush_antecipacao_frios,233,228,35
2026-08-05,20260805_guanabara_insider_apppush_diadospais,486,476,73
2026-08-05,20260805_guanabara_insider_apppush_diadospais_ativos,346,339,52
2026-08-05,20260805_guanabara_insider_apppush_diadospais_emqueda,46,45,7
2026-08-05,20260805_guanabara_insider_apppush_formasdepagamento_emqueda,46,45,7
2026-08-05,20260805_guanabara_insider_apppush_formasdepagamento_frios,233,228,35
2026-08-05,20260805_guanabara_insider_apppush_vivafidelidade_ativos,673,659,101
2026-08-05,20260805_guanabara_insider_apppush_vivafidelidade_emqueda,73,71,11
2026-08-05,20260805_guanabara_insider_apppush_vivafidelidade_frios,186,182,28
2026-08-04,20260804_guanabara_insider_apppush_antecipacao_ativos,440,431,66
2026-08-04,20260804_guanabara_insider_apppush_antecipacao_emqueda,13,12,2
2026-08-04,20260804_guanabara_insider_apppush_antecipacao_frios,146,143,22
2026-08-04,20260804_guanabara_insider_apppush_formasdepagamento,760,744,114
2026-08-04,20260804_guanabara_insider_apppush_formasdepagamento_ativos,180,176,27
2026-08-04,20260804_guanabara_insider_apppush_formasdepagamento_emqueda,120,117,18
2026-08-04,20260804_guanabara_insider_apppush_rockinrio_emqueda,113,110,17
2026-08-04,20260804_guanabara_insider_apppush_rockinrio_frios,186,182,28
2026-08-04,20260804_guanabara_insider_apppush_vivafidelidade_ativos,613,600,92
2026-08-04,20260804_guanabara_insider_apppush_vivafidelidade_frios,206,201,31
2026-08-03,20260803_guanabara_insider_apppush_antecipacao_emqueda,100,98,15
2026-08-03,20260803_guanabara_insider_apppush_formasdepagamento_ativos,153,149,23
2026-08-03,20260803_guanabara_insider_apppush_formasdepagamento_frios,186,182,28
2026-08-03,20260803_guanabara_insider_apppush_rotina,440,431,66
2026-08-03,20260803_guanabara_insider_apppush_rotina_ativos,560,548,84
2026-08-03,20260803_guanabara_insider_apppush_rotina_emqueda,93,91,14
2026-08-03,20260803_guanabara_insider_apppush_rotina_frios,160,156,24
2026-08-03,20260803_guanabara_insider_apppush_viaje20_emqueda,140,137,21
2026-08-03,20260803_guanabara_insider_apppush_vivafidelidade_ativos,860,842,129
2026-08-03,20260803_guanabara_insider_apppush_vivafidelidade_frios,266,260,40
2026-08-03,20260803_guanabara_insider_sms_antecipacao_ativos,106,103,16
2026-08-02,20260721_Acao_CAP_Cupom_Apppush_D7,20,19,3
2026-08-02,20260721_Acao_CAP_Cupom_Apppush_D7_B,13,12,2
2026-08-02,20260721_Acao_CAP_Cupom_Apppush_D7_notreach_email,53,51,8
2026-08-02,20260721_Acao_CAP_Cupom_Apppush_D7_notreach_email_B,20,19,3
2026-08-02,20260721_Acao_CAP_Cupom_Busca_AppPush_D7,20,19,3
2026-08-02,20260721_Acao_CAP_Cupom_Busca_AppPush_D7_B,46,45,7
2026-08-02,20260721_Acao_CAP_Cupom_Busca_Apppush_D7_notreach_email,46,45,7
2026-08-02,20260721_Acao_CAP_Cupom_Busca_Apppush_D7_notreach_email_B,60,58,9
2026-08-02,20260802_guanabara_insider_apppush_antecipacao_emqueda,20,19,3
2026-08-02,20260802_guanabara_insider_apppush_antecipacao_frios,146,143,22
2026-08-02,20260802_guanabara_insider_apppush_formasdepagamento,346,339,52
2026-08-02,20260802_guanabara_insider_apppush_formasdepagamento_ativos,233,228,35
2026-08-02,20260802_guanabara_insider_apppush_formasdepagamento_emqueda,66,64,10
2026-08-02,20260802_guanabara_insider_apppush_formasdepagamento_frios,226,221,34
2026-08-02,20260802_guanabara_insider_apppush_viaje20_ativos,146,143,22
2026-08-02,20260802_guanabara_insider_apppush_viaje20_frios,293,287,44
2026-08-02,20260802_guanabara_insider_apppush_vivafidelidade_ativos,546,535,82
2026-08-02,20260802_guanabara_insider_apppush_vivafidelidade_emqueda,53,51,8
2026-08-01,20260721_Acao_CAP_Cupom_Apppush_D6,6,5,1
2026-08-01,20260721_Acao_CAP_Cupom_Apppush_D6_B,13,12,2
2026-08-01,20260721_Acao_CAP_Cupom_Apppush_D6_notreach_email,20,19,3
2026-08-01,20260721_Acao_CAP_Cupom_Apppush_D6_notreach_email_B,53,51,8
2026-08-01,20260721_Acao_CAP_Cupom_Busca_AppPush_D6,20,19,3
2026-08-01,20260721_Acao_CAP_Cupom_Busca_AppPush_D6_B,13,12,2
2026-08-01,20260721_Acao_CAP_Cupom_Busca_Apppush_D6_notreach_email,60,58,9
2026-08-01,20260721_Acao_CAP_Cupom_Busca_Apppush_D6_notreach_email_B,13,12,2
2026-08-01,20260801_guanabara_insider_apppush_antecipacao_ativos,220,215,33
2026-08-01,20260801_guanabara_insider_apppush_antecipacao_emqueda,46,45,7
2026-08-01,20260801_guanabara_insider_apppush_formasdepagamento,340,333,51
2026-08-01,20260801_guanabara_insider_apppush_formasdepagamento_ativos,153,149,23
2026-08-01,20260801_guanabara_insider_apppush_formasdepagamento_emqueda,20,19,3
2026-08-01,20260801_guanabara_insider_apppush_formasdepagamento_frios,126,123,19
2026-08-01,20260801_guanabara_insider_apppush_viaje20_ativos,313,306,47
2026-08-01,20260801_guanabara_insider_apppush_viaje20_emqueda,33,32,5
2026-08-01,20260801_guanabara_insider_apppush_viaje20_frios,273,267,41
2026-08-01,20260801_guanabara_insider_apppush_vivafidelidade_frios,220,215,33
2026-08-01,20260801_guanabara_insider_sms_vivafidelidade_ativos,366,358,55
2026-07-31,20260721_Acao_CAP_Cupom_Apppush_D5,13,12,2
2026-07-31,20260721_Acao_CAP_Cupom_Apppush_D5_B,26,25,4
2026-07-31,20260721_Acao_CAP_Cupom_Apppush_D5_notreach_email,66,64,10
2026-07-31,20260721_Acao_CAP_Cupom_Apppush_D5_notreach_email_B,66,64,10
2026-07-31,20260721_Acao_CAP_Cupom_Busca_AppPush_D5,20,19,3
2026-07-31,20260721_Acao_CAP_Cupom_Busca_AppPush_D5_B,20,19,3
2026-07-31,20260721_Acao_CAP_Cupom_Busca_Apppush_D5_notreach_email,46,45,7
2026-07-31,20260721_Acao_CAP_Cupom_Busca_Apppush_D5_notreach_email_B,60,58,9
2026-07-31,20260731_guanabara_insider_apppush_antecipacao_ativos,273,267,41
2026-07-31,20260731_guanabara_insider_apppush_campanha_viaje20_emqueda,40,39,6
2026-07-31,20260731_guanabara_insider_apppush_rotina,420,411,63
2026-07-31,20260731_guanabara_insider_apppush_rotina_ativos,113,110,17
2026-07-31,20260731_guanabara_insider_apppush_rotina_emqueda,33,32,5
2026-07-31,20260731_guanabara_insider_apppush_vivafidelidade_ativos,320,313,48
2026-07-31,20260731_guanabara_insider_apppush_vivafidelidade_emqueda,53,51,8
2026-07-31,20260731_guanabara_insider_sms_campanha_viaje20_ativos,120,117,18
2026-07-31,20260731_guanabara_pushnews_webpush_vivafidelidade_geral,6013,5892,902
2026-07-30,20260721_Acao_CAP_Cupom_Apppush_D4,13,12,2
2026-07-30,20260721_Acao_CAP_Cupom_Apppush_D4_B,46,45,7
2026-07-30,20260721_Acao_CAP_Cupom_Apppush_D4_notreach_email,26,25,4
2026-07-30,20260721_Acao_CAP_Cupom_Apppush_D4_notreach_email_B,66,64,10
2026-07-30,20260721_Acao_CAP_Cupom_Busca_AppPush_D4,33,32,5
2026-07-30,20260721_Acao_CAP_Cupom_Busca_Apppush_D4_notreach_email,60,58,9
2026-07-30,20260721_Acao_CAP_Cupom_Busca_Apppush_D4_notreach_email_B,100,98,15
2026-07-30,20260730_guanabara_insider_apppush_antecipacao_ativos,253,247,38
2026-07-30,20260730_guanabara_insider_apppush_antecipacao_emqueda,40,39,6
2026-07-30,20260730_guanabara_insider_apppush_campanha_geral,553,541,83
2026-07-30,20260730_guanabara_insider_apppush_campanha_viaje20_ativos,286,280,43
2026-07-30,20260730_guanabara_insider_apppush_campanha_viaje20_emqueda,80,78,12
2026-07-30,20260730_guanabara_insider_apppush_rotina_emqueda,60,58,9
2026-07-30,20260730_guanabara_insider_apppush_vivafidelidade_ativos,220,215,33
2026-07-30,20260730_guanabara_pushnews_webpush_vivafidelidade_geral,5380,5272,807
2026-07-29,20260721_Acao_CAP_Cupom_Apppush_D3,26,25,4
2026-07-29,20260721_Acao_CAP_Cupom_Apppush_D3_B,20,19,3
2026-07-29,20260721_Acao_CAP_Cupom_Apppush_D3_notreach_email,46,45,7
2026-07-29,20260721_Acao_CAP_Cupom_Apppush_D3_notreach_email_B,46,45,7
2026-07-29,20260721_Acao_CAP_Cupom_Busca_AppPush_D3,73,71,11
2026-07-29,20260721_Acao_CAP_Cupom_Busca_AppPush_D3_B,20,19,3
2026-07-29,20260721_Acao_CAP_Cupom_Busca_Apppush_D3_notreach_email,126,123,19
2026-07-29,20260721_Acao_CAP_Cupom_Busca_Apppush_D3_notreach_email_B,66,64,10
2026-07-29,20260729_guanabara_insider_apppush_antecipacao_emqueda,33,32,5
2026-07-29,20260729_guanabara_insider_apppush_antecipacao_frios,146,143,22
2026-07-29,20260729_guanabara_insider_apppush_campanha_ativos,153,149,23
2026-07-29,20260729_guanabara_insider_apppush_campanha_emqueda,26,25,4
2026-07-29,20260729_guanabara_insider_apppush_campanha_frios,253,247,38
2026-07-29,20260729_guanabara_insider_apppush_rotina,286,280,43
2026-07-29,20260729_guanabara_insider_apppush_vivafidelidade_ativos,253,247,38
2026-07-29,20260729_guanabara_insider_apppush_vivafidelidade_frios,273,267,41
2026-07-29,20260729_guanabara_pushnews_webpush_antecipacao_geral,5246,5141,787
2026-07-28,20260721_Acao_CAP_Cupom_Apppush_D2,73,71,11
2026-07-28,20260721_Acao_CAP_Cupom_Apppush_D2_B,26,25,4
2026-07-28,20260721_Acao_CAP_Cupom_Apppush_D2_notreach_email,60,58,9
2026-07-28,20260721_Acao_CAP_Cupom_Apppush_D2_notreach_email_B,33,32,5
2026-07-28,20260721_Acao_CAP_Cupom_Busca_AppPush_D2,60,58,9
2026-07-28,20260721_Acao_CAP_Cupom_Busca_AppPush_D2_B,93,91,14
2026-07-28,20260721_Acao_CAP_Cupom_Busca_Apppush_D2_notreach_email,73,71,11
2026-07-28,20260721_Acao_CAP_Cupom_Busca_Apppush_D2_notreach_email_B,100,98,15
2026-07-28,20260728_guanabara_insider_apppush_antecipacao,380,372,57
2026-07-28,20260728_guanabara_insider_apppush_antecipacao_ativos,313,306,47
2026-07-28,20260728_guanabara_insider_apppush_antecipacao_emqueda,13,12,2
2026-07-28,20260728_guanabara_insider_apppush_antecipacao_frios,160,156,24
2026-07-28,20260728_guanabara_insider_apppush_campanha_ativos,206,201,31
2026-07-28,20260728_guanabara_insider_apppush_vivafidelidade_ativos,386,378,58
2026-07-28,20260728_guanabara_insider_apppush_vivafidelidade_emqueda,26,25,4
2026-07-28,20260728_guanabara_insider_apppush_vivafidelidade_frios,453,443,68
2026-07-28,20260728_guanabara_pushnews_webpush_campanha_geral,5940,5821,891
2026-07-27,20260721_Acao_CAP_Cupom_Apppush_D1,26,25,4
2026-07-27,20260721_Acao_CAP_Cupom_Apppush_D1_B,46,45,7
2026-07-27,20260721_Acao_CAP_Cupom_Apppush_D1_notreach_email,60,58,9
2026-07-27,20260721_Acao_CAP_Cupom_Apppush_D1_notreach_email_B,66,64,10
2026-07-27,20260721_Acao_CAP_Cupom_Busca_AppPush_D1,213,208,32
2026-07-27,20260721_Acao_CAP_Cupom_Busca_AppPush_D1_B,126,123,19
2026-07-27,20260721_Acao_CAP_Cupom_Busca_Apppush_D1_notreach_email_B,106,103,16
2026-07-27,20260727_guanabara_insider_apppush_campanha_ativos,246,241,37
2026-07-27,20260727_guanabara_insider_apppush_campanha_emqueda,33,32,5
2026-07-27,20260727_guanabara_insider_apppush_campanha_frios,166,162,25
2026-07-27,20260727_guanabara_insider_apppush_rotina_ativos,193,189,29
2026-07-27,20260727_guanabara_insider_apppush_rotina_emqueda,20,19,3
2026-07-27,20260727_guanabara_insider_apppush_rotina_frios,133,130,20
2026-07-27,20260727_guanabara_insider_apppush_rotina_geral,400,392,60
2026-07-27,20260727_guanabara_insider_apppush_vivafidelidade_ativos,313,306,47
2026-07-27,20260727_guanabara_insider_apppush_vivafidelidade_emqueda,13,12,2
2026-07-27,20260727_guanabara_insider_apppush_vivafidelidade_frios,226,221,34
2026-07-27,20260727_guanabara_pushnews_webpush_campanha_geral,6100,5978,915
2026-07-26,20260726_guanabara_insider_apppush_antecipacao_ativos,213,208,32
2026-07-26,20260726_guanabara_insider_apppush_antecipacao_emqueda,6,5,1
2026-07-26,20260726_guanabara_insider_apppush_antecipacao_frios,166,162,25
2026-07-26,20260726_guanabara_insider_apppush_campanha_ativos,200,196,30
2026-07-26,20260726_guanabara_insider_apppush_campanha_emqueda,13,12,2
2026-07-26,20260726_guanabara_insider_apppush_campanha_frios,206,201,31
2026-07-26,20260726_guanabara_insider_apppush_rotina_ativos,320,313,48
2026-07-26,20260726_guanabara_insider_apppush_rotina_emqueda,40,39,6
2026-07-26,20260726_guanabara_insider_apppush_rotina_frios,200,196,30
2026-07-26,20260726_guanabara_pushnews_webpush_antecipacao_geral,4173,4089,626
2026-07-25,20260725_guanabara_insider_apppush_antecipacao_ativos,253,247,38
2026-07-25,20260725_guanabara_insider_apppush_antecipacao_emqueda,26,25,4
2026-07-25,20260725_guanabara_insider_apppush_antecipacao_frios,146,143,22
2026-07-25,20260725_guanabara_insider_apppush_campanha_ativos,280,274,42
2026-07-25,20260725_guanabara_insider_apppush_campanha_emqueda,33,32,5
2026-07-25,20260725_guanabara_insider_apppush_campanha_frios,206,201,31
2026-07-25,20260725_guanabara_insider_apppush_vivafidelidade_ativos,340,333,51
2026-07-25,20260725_guanabara_insider_apppush_vivafidelidade_emqueda,66,64,10
2026-07-25,20260725_guanabara_insider_apppush_vivafidelidade_frios,233,228,35
2026-07-25,20260725_guanabara_pushnews_webpush_campanha_geral,4440,4351,666
2026-07-24,20260724_guanabara_insider_apppush_campanha_emqueda,20,19,3
2026-07-24,20260724_guanabara_insider_apppush_campanha_frios,173,169,26
2026-07-24,20260724_guanabara_insider_apppush_rotina_ativos,433,424,65
2026-07-24,20260724_guanabara_insider_apppush_rotina_emqueda,66,64,10
2026-07-24,20260724_guanabara_insider_apppush_rotina_frios,233,228,35
2026-07-24,20260724_guanabara_insider_apppush_vivafidelidade_ativos,446,437,67
2026-07-24,20260724_guanabara_insider_apppush_vivafidelidade_emqueda,126,123,19
2026-07-24,20260724_guanabara_insider_apppush_vivafidelidade_frios,186,182,28
2026-07-24,20260724_guanabara_insider_sms_campanha_ativos,66,64,10
2026-07-24,20260724_guanabara_pushnews_webpush_campanha_geral,5333,5226,800
2026-07-23,20260723_guanabara_insider_apppush_antecipacao_ativos,513,502,77
2026-07-23,20260723_guanabara_insider_apppush_rotina_emqueda,60,58,9
2026-07-23,20260723_guanabara_insider_apppush_vivafidelidade_emqueda,80,78,12
2026-07-23,20260723_guanabara_insider_apppush_vivafidelidade_frios,466,456,70
2026-07-23,20260723_guanabara_insider_sms_campanha_ativos,126,123,19
2026-07-23,20260723_guanabara_pushnews_webpush_antecipacao_geral,5366,5258,805
2026-07-22,20260722_guanabara_insider_apppush_antecipacao_ativos,73,71,11
2026-07-22,20260722_guanabara_insider_apppush_antecipacao_frios,260,254,39
2026-07-22,20260722_guanabara_insider_apppush_campanha_ativos,320,313,48
2026-07-22,20260722_guanabara_insider_apppush_campanha_emqueda,60,58,9
2026-07-22,20260722_guanabara_insider_apppush_campanha_frios,246,241,37
2026-07-22,20260722_guanabara_insider_apppush_rotina_emqueda,53,51,8
2026-07-22,20260722_guanabara_insider_apppush_rotina_frios,193,189,29
2026-07-22,20260722_guanabara_insider_apppush_vivafidelidade_ativos,633,620,95
2026-07-22,20260722_guanabara_insider_sms_rotina_ativos,120,117,18
2026-07-22,20260722_guanabara_pushnews_webpush_campanha_geral,6100,5978,915
2026-07-21,20260721_guanabara_insider_apppush_antecipacao_ativos,380,372,57
2026-07-21,20260721_guanabara_insider_apppush_antecipacao_emqueda,80,78,12
2026-07-21,20260721_guanabara_insider_apppush_antecipacao_frios,266,260,40
2026-07-21,20260721_guanabara_insider_apppush_campanha_ativos,420,411,63
2026-07-21,20260721_guanabara_insider_apppush_campanha_emqueda,93,91,14
2026-07-21,20260721_guanabara_insider_apppush_campanha_frios,180,176,27
2026-07-21,20260721_guanabara_insider_apppush_vivafidelidade_ativos,933,914,140
2026-07-21,20260721_guanabara_insider_apppush_vivafidelidade_emqueda,233,228,35
2026-07-21,20260721_guanabara_insider_apppush_vivafidelidade_frios,333,326,50
2026-07-21,20260721_guanabara_pushnews_webpush_vivafidelidade_geral,5433,5324,815
2026-07-20,20260720_guanabara_insider_apppush_antecipacao_ativos,406,397,61
2026-07-20,20260720_guanabara_insider_apppush_campanha_emqueda,80,78,12
2026-07-20,20260720_guanabara_insider_apppush_campanha_frios,300,294,45
2026-07-20,20260720_guanabara_insider_apppush_rotina_ativos,580,568,87
2026-07-20,20260720_guanabara_insider_apppush_rotina_emqueda,33,32,5
2026-07-20,20260720_guanabara_insider_apppush_rotina_frios,300,294,45
2026-07-20,20260720_guanabara_insider_apppush_vivafidelidade_ativos,760,744,114
2026-07-20,20260720_guanabara_insider_apppush_vivafidelidade_emqueda,113,110,17
2026-07-20,20260720_guanabara_insider_apppush_vivafidelidade_frios,320,313,48
2026-07-20,20260720_guanabara_insider_sms_campanha_ativos,113,110,17
2026-07-20,20260720_guanabara_pushnews_webpush_antecipacao_geral,5133,5030,770
2026-07-19,20260719_guanabara_insider_apppush_campanha_ativos,493,483,74
2026-07-19,20260719_guanabara_insider_apppush_campanha_emqueda,60,58,9
2026-07-19,20260719_guanabara_insider_apppush_campanha_frios,293,287,44
2026-07-19,20260719_guanabara_insider_apppush_rotina_ativos,433,424,65
2026-07-19,20260719_guanabara_insider_apppush_rotina_emqueda,46,45,7
2026-07-19,20260719_guanabara_insider_apppush_rotina_frios,226,221,34
2026-07-19,20260719_guanabara_insider_apppush_vivafidelidade_ativos,820,803,123
2026-07-19,20260719_guanabara_insider_apppush_vivafidelidade_emqueda,93,91,14
2026-07-19,20260719_guanabara_insider_apppush_vivafidelidade_frios,440,431,66
2026-07-19,20260719_guanabara_pushnews_webpush_viajenasferias_geral,3820,3743,573
2026-07-18,20260718_guanabara_insider_apppush_campanha_ativos,820,803,123
2026-07-18,20260718_guanabara_insider_apppush_campanha_emqueda,13,12,2
2026-07-18,20260718_guanabara_insider_apppush_comercial_ativos,420,411,63
2026-07-18,20260718_guanabara_insider_apppush_rotina_emqueda,40,39,6
2026-07-18,20260718_guanabara_insider_apppush_rotina_frios,286,280,43
2026-07-18,20260718_guanabara_insider_apppush_vivafidelidade_emqueda,33,32,5
2026-07-18,20260718_guanabara_insider_apppush_vivafidelidade_frios,280,274,42
2026-07-18,20260718_guanabara_pushnews_webpush_comercial_geral,3933,3854,590
2026-07-17,20260717_guanabara_insider_apppush_campanha_ativos,453,443,68
2026-07-17,20260717_guanabara_insider_apppush_comercial_ativos,453,443,68
2026-07-17,20260717_guanabara_insider_apppush_comercial_frios,200,196,30
2026-07-17,20260717_guanabara_insider_apppush_comercial_frios2,180,176,27
2026-07-17,20260717_guanabara_insider_apppush_rotina_ativos,420,411,63
2026-07-17,20260717_guanabara_insider_apppush_vivafidelidade_emqueda,106,103,16
2026-07-17,20260717_guanabara_insider_apppush_vivafidelidade_emqueda2,93,91,14
2026-07-17,20260717_guanabara_insider_apppush_vivafidelidade_frios,366,358,55
2026-07-17,20260717_guanabara_insider_sms_rotina_ativos,73,71,11
2026-07-17,20260717_guanabara_pushnews_webpush_comercial_geral,5220,5115,783
2026-07-16,20260716_guanabara_insider_apppush_campanha_ativos,586,574,88
2026-07-16,20260716_guanabara_insider_apppush_campanha_emqueda,26,25,4
2026-07-16,20260716_guanabara_insider_apppush_campanha_frios,500,490,75
2026-07-16,20260716_guanabara_insider_apppush_comercial_ativos,626,613,94
2026-07-16,20260716_guanabara_insider_apppush_urgencia_emqueda,33,32,5
2026-07-16,20260716_guanabara_insider_apppush_vivafidelidade_ativos,573,561,86
2026-07-16,20260716_guanabara_pushnews_webpush_comercial_geral,6793,6657,1019
2026-07-15,20260715_guanabara_insider_apppush_campanha_emqueda,60,58,9
2026-07-15,20260715_guanabara_insider_apppush_campanha_frios,333,326,50
2026-07-15,20260715_guanabara_insider_apppush_rotina_ativos,560,548,84
2026-07-15,20260715_guanabara_insider_apppush_vivafidelidade_ativos,2813,2756,422
2026-07-15,20260715_guanabara_insider_apppush_vivafidelidade_emqueda,80,78,12
2026-07-15,20260715_guanabara_insider_apppush_vivafidelidade_emqueda2,33,32,5
2026-07-15,20260715_guanabara_insider_apppush_vivafidelidade_frios,420,411,63
2026-07-15,20260715_guanabara_insider_sms_campanha_ativos,226,221,34
2026-07-14,20260714_guanabara_insider_apppush_campanha_ativos,573,561,86
2026-07-14,20260714_guanabara_insider_apppush_comercial_emqueda,60,58,9
2026-07-14,20260714_guanabara_insider_apppush_comercial_emqueda2,33,32,5
2026-07-14,20260714_guanabara_insider_apppush_urgência_frios,353,345,53
2026-07-14,20260714_guanabara_insider_apppush_vivafidelidade_ativos2,1013,992,152
2026-07-14,20260714_guanabara_insider_apppush_vivafidelidade_frios,253,247,38
2026-07-13,20260713_guanabara_insider_apppush_comercial_frios,413,404,62
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_ativos,406,397,61
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_ativos2,320,313,48
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_ativos3,553,541,83
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_emqueda,60,58,9
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_emqueda2,73,71,11
2026-07-13,20260713_guanabara_insider_apppush_diamundialdorock_emqueda3,60,58,9
2026-07-13,20260713_guanabara_insider_apppush_urgência_frios,266,260,40
2026-07-13,20260713_guanabara_insider_apppush_vivafidelidade_frios,466,456,70
2026-07-13,20260713_guanabara_insider_sms_diamundialdorock_ativos,53,51,8
2026-07-11,20260711_guanabara_insider_apppush_campanha_emqueda,53,51,8
2026-07-11,20260711_guanabara_insider_apppush_urgência_frios,306,299,46
2026-07-10,20260710_guanabara_insider_apppush_campanha_emqueda,86,84,13
2026-07-10,20260710_guanabara_insider_apppush_reativação_emqueda,20,19,3
2026-07-10,20260710_guanabara_insider_apppush_rotina_ativos,426,417,64
2026-07-10,20260710_guanabara_insider_apppush_urgência_frios,233,228,35
2026-07-10,20260710_guanabara_insider_apppush_urgência_frios2,360,352,54
2026-07-10,20260710_guanabara_insider_apppush_vivafidelidade_ativos,586,574,88
2026-07-10,20260710_guanabara_insider_apppush_vivafidelidade_ativos2,413,404,62
2026-07-10,20260710_guanabara_insider_apppush_vivafidelidade_emqueda,40,39,6
2026-07-10,20260710_guanabara_insider_apppush_vivafidelidade_frios,293,287,44
2026-07-09,20260709_guanabara_insider_apppush_campanha_ativos,566,554,85
2026-07-09,20260709_guanabara_insider_apppush_comercial_emqueda,46,45,7
2026-07-09,20260709_guanabara_insider_apppush_comercial_frios,340,333,51
2026-07-09,20260709_guanabara_insider_apppush_reativação_emqueda,200,196,30
2026-07-09,20260709_guanabara_insider_apppush_urgência_frios,406,397,61
